name;open;high;low;close;volume;marketCap;timestamp
"2781";4.9946e-10;5.1452e-10;1.3814e-10;2.3709e-10;5189.79;0;"2020-08-03T00:00:00.000Z"
"2781";2.3709e-10;2.3963e-10;1.3713e-10;1.7095e-10;505.61;0;"2020-08-10T00:00:00.000Z"
"2781";1.7095e-10;2.036e-10;9.162e-11;1.1251e-10;762.84;0;"2020-08-17T00:00:00.000Z"
"2781";3e-8;4e-8;1e-8;1e-8;31930888.52;0;"2021-02-01T00:00:00.000Z"
"2781";1e-8;2e-8;1e-8;1e-8;9744618.67;0;"2021-02-08T00:00:00.000Z"
"2781";1e-8;1e-8;1e-8;1e-8;1150211.53;0;"2021-02-15T00:00:00.000Z"
"2781";1e-8;2e-8;1e-8;1e-8;4685258.92;0;"2021-02-22T00:00:00.000Z"
"2781";1e-8;3e-8;1e-8;2e-8;9644407.43;0;"2021-03-01T00:00:00.000Z"
"2781";2e-8;8e-8;1e-8;5e-8;3945664.45;0;"2021-03-08T00:00:00.000Z"
"2781";5e-8;1e-7;5e-8;6e-8;27219154.24;0;"2021-03-15T00:00:00.000Z"
"2781";6e-8;6e-8;4e-8;6e-8;5848409.67;0;"2021-03-22T00:00:00.000Z"
"2781";6e-8;7e-8;4e-8;4e-8;8874738.56;0;"2021-03-29T00:00:00.000Z"
"2781";4e-8;1.2e-7;4e-8;1.1e-7;12509355.84;0;"2021-04-05T00:00:00.000Z"
"2781";1.1e-7;0.00000301;1e-7;0.00000188;817210430.47;0;"2021-04-12T00:00:00.000Z"
"2781";0.00000188;0.00000417;9.6e-7;0.00000131;1760948850.46;0;"2021-04-19T00:00:00.000Z"
"2781";0.00000131;0.00000218;7.7e-7;0.00000163;726945528.2;0;"2021-04-26T00:00:00.000Z"
"2781";0.00000165;0.0000195;0.0000014;0.00001562;12835999124.44;6168398355.36;"2021-05-03T00:00:00.000Z"
"2781";0.00001562;0.0000388;0.00001251;0.0000177;52233340419.02;6987160272.36;"2021-05-10T00:00:00.000Z"
"2781";0.0000178;0.00001798;0.00000642;0.00000813;15350493865.4;3211108114.65;"2021-05-17T00:00:00.000Z"
"2781";0.0000081;0.00001195;0.00000732;0.00000785;6902972144.92;3099443066.5;"2021-05-24T00:00:00.000Z"
"2781";0.00000786;0.0000104;0.0000077;0.00000854;5424692989.68;3370535792.12;"2021-05-31T00:00:00.000Z"
"2781";0.00000853;0.00000872;0.00000557;0.00000687;3715642939.86;2710887093.63;"2021-06-07T00:00:00.000Z"
"2781";0.00000684;0.00000975;0.00000668;0.0000078;4747958896.86;3078391264.64;"2021-06-14T00:00:00.000Z"
"2781";0.00000779;0.00000827;0.00000561;0.00000786;4114950756.17;3101198479.54;"2021-06-21T00:00:00.000Z"
"2781";0.00000786;0.00000959;0.00000759;0.00000872;3928411361.48;3440746987.86;"2021-06-28T00:00:00.000Z"
"2781";0.00000873;0.00000924;0.00000753;0.00000786;2908488800.51;3103829297.43;"2021-07-05T00:00:00.000Z"
"2781";0.00000786;0.00000799;0.00000656;0.00000665;2191302669.56;2627102207.38;"2021-07-12T00:00:00.000Z"
"2781";0.00000665;0.00000694;0.00000571;0.00000635;2176848434.07;2507256990.05;"2021-07-19T00:00:00.000Z"
"2781";0.00000636;0.0000069;0.00000604;0.00000632;2394211776.96;2496092151.28;"2021-07-26T00:00:00.000Z"
"2781";0.00000631;0.00000881;0.00000611;0.00000728;3204983719.86;2874781544.37;"2021-08-02T00:00:00.000Z"
"2781";0.00000728;0.00000874;0.0000071;0.00000857;3435985203.87;3385353275.59;"2021-08-09T00:00:00.000Z"
"2781";0.00000855;0.00000947;0.00000779;0.00000823;3474817357.62;3247795192.26;"2021-08-16T00:00:00.000Z"
"2781";0.00000821;0.00000843;0.00000683;0.00000712;2163709077.53;2810348819.77;"2021-08-23T00:00:00.000Z"
"2781";0.00000713;0.00000767;0.00000656;0.00000756;2028132555.61;2984980426.78;"2021-08-30T00:00:00.000Z"
"2781";0.00000753;0.00000819;0.00000516;0.0000069;3626979985.05;2722822657.11;"2021-09-06T00:00:00.000Z"
"2781";0.0000069;0.00000946316129;0.00000619366595;0.00000808413049;5056158973.16;3191582380.94;"2021-09-13T00:00:00.000Z"
"2781";0.00000808498876;0.00000810369672;0.00000660317509;0.00000709535482;2562610984.19;2801217701.52;"2021-09-20T00:00:00.000Z"
"2781";0.00000711401076;0.00000900582544;0.00000681884029;0.00000854114601;2202681445.13;3372010281.69;"2021-09-27T00:00:00.000Z"
"2781";0.00000855037925;0.00003502139488;0.00000821324076;0.00002622326861;70787438891.08;10352841553.14;"2021-10-04T00:00:00.000Z"
"2781";0.00002616770854;0.00003200767194;0.00002343837303;0.00002778996059;26297066665.7;10971365280.47;"2021-10-11T00:00:00.000Z"
"2781";0.00002777387165;0.00004441921196;0.00002641865573;0.00003581906656;30125537513.97;14141224200.14;"2021-10-18T00:00:00.000Z"
